1 15 15  597386942813 252917418
156 6 2  564699293848 30965773
157 62 9  346974466533 2633976289
158 12 3  567797240779 53775980
159 15 15  390350936464 175968873
160 62 63  184984992246 999437828
161 31 23  49248165514 1338257748
162 12 11  17191792980 172389737
163 43 7  557818953603 150094529
164 6 3  479416705339 25416442
165 12 3  231030123388 39188199
166 125 31  434235856223 80460819
167 68 47  281190891463 226485809
168 6 4  311959246413 56376825
169 12 4  184593593274 113663037
170 68 47  421336179307 197893481
171 68 47  20534986404 593093053
172 13 31  541889214706 1488390523
173 31 11  286719118470 34880867
174 49 6  238472592140 232888693
175 19 15  24102080998 437821055
176 31 15  16295958617 18869108
177 62 6  445886315338 127535483
178 31 7  537830442955 4685583349
179 9 12  344881361484 349641850
180 999 206  111272534300 4232396622
181 24 25  603644023781 6512411788
182 62 12  98538196708 128713374
183 6 2  555296228234 310816766
184 6 1  216558496247 20373248
185 6 3  354800807314 4824201869
186 22 4  508388146108 667125775
187 6 3  150500851303 416017821
188 31 11  365117543288 85115978
189 31 4  267803697191 2825287018
190 62 15  134056854523 101730294
191 9 15  537310631463 151908042
192 68 47  439060195442 282252454
193 6 1  414371371297 16492872
194 9 15  595490091446 66593056
195 31 18  288624971162 341553867
196 6 2  469049059345 2287570499
197 62 4  576002098251 42592629
198 68 47  266308151604 263921411
199 56 47  453825411249 318151665
200 62 12  131884972505 249549073
201 31 11  127594799909 84522669
202 31 7  534287227574 2457393240
203 9 15  553299336196 908551675
204 31 15  8158682519 34745186
205 6 1  274115545549 302551142
206 31 31  100226369191 12351431069
207 31 15  50111688822 27806240
208 6 2  185396265234 314520340
209 68 47  181171335949 721150426
210 43 7  15412871981 162270365
211 68 47  458136061260 67117000
212 12 3  491269866705 314745389
213 6 1  93053195729 46778628
214 56 39  521837748092 395063737
215 7 4  527265345321 295580161
216 31 11  315496009567 36896633
217 31 7  22500261748 149336615
218 43 7  366553203737 583371954
219 56 47  511427397463 201072804
220 9 12  248862045474 199705153
221 12 4  281315235268 207995641
222 31 4  344360794047 602784631
223 12 15  349810727957 322292349
224 68 47  228969336234 372981522
225 93 238  185662868713 77873315
226 68 47  230652710437 124424994
227 31 15  33940260189 25754095
228 3 0  483734591635 14366944
229 12 3  231916489277 36152307
230 6 31  372552974599 22810236
231 6 31  396850168733 41253136
232 62 31  56492668858 831539845
233 56 47  324283649169 255103323
234 6 2  23124900064 135747157
235 6 1  340847612241 181063083
236 62 12  484682130267 143494038
237 31 11  150932956754 75498410
238 12 3  152875205915 606181114
239 12 4  192438713727 254767917
240 8 46  210255329948 3908415077
241 12 15  426144818636 210779225
242 62 31  191325490113 159096234
243 12 11  225123900459 119149382
244 62 4  332402035611 48232973
245 62 12  339721187731 161667995
246 12 4  121100291572 236610102
247 6 1  409943252501 111042641
248 62 4  334202265694 56312895
249 31 15  10816977826 25795954
250 31 7  93768907202 954052122
251 12 4  300188976879 318152408
252 62 31  490210172434 227299181
253 68 95  44451022930 298079303
254 12 15  249325623427 50187387
255 15 15  164866951225 254960456
256 18 7  294369479424 373730927
257 62 31  366601315215 217331127
258 31 31  57045003880 5235656519
259 62 31  315302239002 251535400
260 12 3  174986819200 68056537
261 31 15  137137890824 322482448
262 12 15  151740264071 127535675
263 31 23  250845023202 3014495858
264 43 15  554341707606 441593443
265 6 3  355212833114 28516154
266 13 4  353344355095 72411407
267 12 11  8535536840 694915852
268 62 103  191540877122 647957315
269 12 4  361796459165 134140321
270 15 15  340661657627 187152355
271 62 4  516002231024 44604524
272 6 2  122608063044 96443697
273 68 47  327801205453 272554485
274 12 2  338235617587 220513883
275 19 15  70750778927 371309429
276 12 0  365700537779 15319884
277 31 12  259642098049 44935972
278 9 6  426833014724 127610668
279 62 9  74223123661 1438298605
280 32 15  161181406101 578889913
281 31 4  356537341073 30893662
282 62 31  465003788864 211608171
283 62 31  167029242022 345869385
284 62 47  517325979986 965413401
285 16 46  149459545033 77529215
286 62 9  401131398897 1625731135
287 62 7  577398484909 290617961
288 62 9  339369006163 2243262804
289 46 63  124092898233 605816628
290 62 15  591016771074 790141452
291 38 4  272463543384 10304124801
292 6 1  466815328732 59999818
293 12 4  102138032749 2538503197
294 12 0  507300804574 25913442
295 12 7  597078351817 361909910
296 12 4  122839018589 257365732
297 38 4  285507239913 3322802824
298 6 2  582662905168 138984634
299 12 11  222592723226 911951530
300 6 3  153664305777 43052414
301 13 11  16467261251 487411835
302 31 11  88247002567 73480383
303 62 12  243963686767 131480078
304 31 12  16642853394 64685552
305 31 3  569990190802 4346920738
306 62 4  56432760368 40767112
307 6 3  483620084759 23494640
308 12 4  401431534479 262216141
309 12 3  202101097582 94319409
310 31 15  257664923771 42658727
311 62 12  233643065535 136720984
312 15 15  77653206529 254866777
313 43 7  275269046578 869559085
314 6 2  37188816994 346100816
315 68 47  320983682913 197027703
316 62 4  475202472078 47253273
317 62 15  283157946609 127663773
318 31 7  164619691432 68099280
319 46 63  499565750281 505681590
320 40 15  339855505050 5203899877
321 62 31  469753864900 47514178636
322 31 7  306083720666 34926266
323 31 4  423741845594 46031868
324 15 15  42597623259 132371615
325 62 12  506764539397 184466243
326 6 2  413656631370 168012064
327 6 0  81036730524 79249072
328 62 6  75534378913 149327443
329 6 3  381616918261 20749650
330 12 4  166315307905 118701921
331 0 3  456617154487 19305514
332 12 3  282462097261 284881386
333 68 47  440510353706 466768758
334 62 4  526802079891 47768413
335 12 4  16616463027 171552309
336 56 15  137769117809 1514389532
337 68 47  413929875286 353688155
338 31 4  400513826785 343454071
339 12 11  263814799772 77533899
340 31 6  189482162478 201030553
341 31 11  41645671403 67990895
342 6 1  413483460601 16728609
343 62 93  106629595948 1494523086
344 9 15  430909833407 1276545820
345 62 12  35651711818 51192958
346 12 4  297700358622 263320401
347 18 7  70265371341 235827461
348 31 11  595521728980 57000778
349 68 47  435498648987 80687812
350 68 47  71752883477 420478394
351 6 1  545390960317 171199454
352 62 12  69249814133 63963968
353 9 4  403350401480 62698006
354 68 47  419879497593 442557470
355 68 47  228487928809 309503045
356 12 15  68395806145 246886436
357 31 7  185350856937 213723506
358 31 15  24079642144 31612328
359 6 1  458354803431 893502367
360 6 2  170650873566 149980850
361 62 31  74103570077 512668635
362 62 12  253322841370 268602485
363 24 25  265640032345 957893454
364 12 0  177301496419 37744292
365 9 15  531716094317 1258448039
366 31 11  279061447985 39675492
367 31 11  250696954801 103383426
368 62 12  230043943089 91855896
369 6 1  48611305504 41939563
370 137 144  159633967200 470245888
371 31 15  100009778216 46935402
372 15 15  335998470241 141013841
373 12 4  382173924422 209576441
374 68 47  435573990059 76391902
375 12 3  544080627967 76460870
376 31 15  78976025325 44940834
377 46 63  323164354172 611933279
378 62 12  28933579604 104953178
379 13 11  480145010044 526189602
380 25 6  61326165948 88309015
381 12 4  209459788167 407695000
382 31 15  95409659564 68104110
383 31 4  26733135275 60656911
384 68 47  453217119929 81254177
385 68 47  247424912335 460380536
386 9 7  325164206554 482895093
387 10 7  412511084982 283511988
388 9 12  512355253768 71149649
389 84 17  551272782757 87508367
390 31 3  413341747983 376397969
391 6 3  227430990871 288668755
392 62 79  123629437016 518409804
393 11 4  143355847414 462820764
394 0 3  183782874393 27731036
395 31 3  359341369589 292357513
396 68 47  280442659909 103883265
397 6 2  516422206980 406773590
398 6 1  349990981554 91197655
399 6 23  286984637914 39716464
400 12 3  330257479404 85943399
401 12 15  571520954302 373377945
402 62 31  287224078735 213874202
403 62 12  140526650105 76354623
404 62 7  514864718686 184440122
405 31 23  50126588155 659123292
406 56 47  439429821786 205211668
407 31 3  142178096986 10157917704
408 62 47  171849852921 972025054
409 7 4  178180497898 474421502
410 62 12  147246370450 117394644
411 62 12  568442299522 152452409
412 62 15  125304919906 192589329
413 68 47  327402120674 168961526
414 12 15  416643418371 214710589
415 9 15  546114331650 956440710
416 9 12  123058713277 231871909
417 12 1  246306328887 193914031
418 6 1  185077380979 21713091
419 6 1  16267451131 240526280
420 62 31  102901261788 344670783
421 31 3  476426613881 70083709
422 31 7  160539417091 358407821
423 31 7  367670546963 6445584281
424 31 4  132627542926 36840212
425 9 12  498420739889 266067365
426 62 7  570214227606 283516867
427 7 4  59349518136 272365427
428 68 47  228750785403 266861943
429 31 4  504796408307 128064879
430 62 6  206578968569 110665549
431 6 1  87706873509 346801255
432 62 63  271445196987 2333043614
433 62 31  494706404174 246198866
434 49 6  87275701823 274926487
435 62 7  534932737152 106718124
436 68 47  169513092205 548302672
437 12 3  486623030134 37918064
438 62 79  293248352127 1582292299
439 31 15  120348322064 113360172
440 12 4  91674415404 250205285
441 18 7  81802565516 474620795
442 6 1  301688640756 137173614
443 6 1  249640462768 43207324
444 6 2  445010425705 332431527
445 12 4  390763679656 185104981
446 9 15  61430253123 203640428
447 68 47  463641421191 70263174
448 43 7  19645628674 376335315
449 20 15  22314093240 222287691
450 6 1  96669549602 152390069
451 6 31  112562693050 119316094
452 62 79  427536256154 228089369
453 68 47  355035029621 188614041
454 31 11  198659167154 33164920
455 814 865  393356074849 1141964723
456 6 3  136416198162 118187254
457 24 25  521281756366 621021471
458 62 12  43872368973 127886268
459 12 4  487190411340 618598469
460 31 7  322501213860 11300137177
461 31 15  29712804739 30805831
462 12 15  163007377073 57964109
463 62 2  137003022789 132045643
464 62 12  196683630730 101364196
465 9 4  555760037977 200192836
466 62 47  88595949234 2277882736
467 68 47  539226472621 524929371
468 43 7  284146478537 153042919
469 31 23  308431551812 2333053814
470 6 1  101334856971 65697646
471 9 12  160003715116 265774728
472 6 1  562767676500 775697246
473 6 3  32429785113 50719881
474 93 7  73813275008 31425151258
475 62 111  85039086168 3112368225
476 6 3  236414236596 42118870
477 6 1  522623120229 32804882
478 62 63  262122831591 1666728691
479 31 31  406070386994 167303464
480 6 31  134103178176 35692190
481 62 31  71583909319 152843157
482 9 15  272538213573 1836512991
483 62 63  408183146195 1257054966
484 31 4  366909631484 27827586
485 3 0  15732890957 21040198
486 31 15  66136998601 40172516
487 6 2  375435585127 2146655303
488 31 15  158139786256 43455409
489 31 15  159948016092 29904062
490 62 4  350401538952 46775218
491 31 3  113641231342 335713429
492 62 2  421518276816 115648936
493 31 3  560941985311 337956679
494 31 4  240146722664 39925160
495 6 1  54427994974 82157655
496 12 4  362057486874 81912180
497 68 47  462072417499 422138474
498 68 47  404020269701 267949726
499 6 3  486623026020 34249742
500 62 103  185195283069 1115570631
501 62 63  470671011374 327496033
502 6 2  37352751704 144372146
503 12 1  161255032328 79855419
504 31 12  477436870481 46646566
505 62 12  70702232944 349891958
506 6 31  160022931509 34368962
507 24 25  208848282573 1782621024
508 68 47  439109446409 314980748
509 31 4  213929407386 52632264
510 12 9  134534294080 499228707
511 6 1  26978866428 23116986
512 68 47  467085311548 70651765
513 9 15  402254293397 70431215
514 0 3  151383638157 21143667
515 6 15  195329997409 1681013005
516 31 15  217399787534 522513664
517 6 1  26424912756 40057093
518 6 1  22437118419 30891161
519 46 63  433808582732 540200313
520 62 4  393002771655 49155484
521 19 21  360134119760 304618595
522 18 7  51098097581 6139625350
523 31 15  23712896072 16042640
524 31 7  548960900616 62334746
525 131 36  602798860014 184025195
526 31 3  293641236999 280994417
527 12 4  349704977765 362817125
528 62 12  34219167333 60481125
529 68 47  106946748687 349483942
530 6 2  138387306373 69372739
531 31 4  318170054501 37438448
532 9 10  307796247360 60556416
533 6 2  588747071018 464467083
534 125 77  431885397839 622605964
535 6 1  428056826057 163409151
536 62 63  112994748029 1322137195
537 62 12  324673713260 127782695
538 15 15  77460662033 329741724
539 6 1  27666711785 30782336
540 46 63  231842151507 594919436
541 125 77  356326274850 498884869
542 31 11  271515276148 62212478
543 24 31  157474769577 1530799445
544 62 7  223543650727 513601439
545 62 6  302414411204 129324111
546 0 3  539949215974 576717186
547 31 23  164465225580 1663362922
548 6 2  360777789465 137600981
549 12 15  384601641826 318744493
550 68 47  443425028680 182434120
551 6 31  313558885295 32151969
552 62 7  478597506753 108809621
553 6 1  502237416712 66187766
554 31 4  343928414467 33786353
555 62 31  238248059401 339082388
556 31 11  550523286909 34335931
557 19 15  60986149208 308220180
558 6 2  438915554070 34971106
559 62 30  363989593234 275005947
560 62 4  418204450862 48309124
561 68 47  440257600009 98947360
562 62 31  322951790119 830216161
563 12 77  421963682611 935228075
564 46 63  237123333301 555952517
565 62 103  59129484005 590960585
566 31 7  113015366074 1619609049
567 6 1  253161312562 784638940
568 31 4  155548327017 34370655
569 6 3  29428245690 33561735
570 12 3  253683682939 317529469
571 62 31  454802336819 428323544
572 12 7  509263854444 601693492
573 0 3  200656825974 30125297
574 7 4  26854573529 335074264
575 31 4  67819644299 38412432
576 12 3  244953399186 82542980
577 6 1  544513046951 33296000
578 22 3  26100317179 392532751
579 31 4  172950383587 43848621
580 31 12  169715401817 43914025
581 46 63  252842227581 706459457
582 62 7  492922295860 70969983
583 9 12  572629914342 171810069
584 62 79  562816078703 663043097
585 31 31  21370051957 2160059119
586 31 7  283565369202 153498144
587 12 4  113280864411 263881695
588 0 3  125078762613 32525106
589 6 2  592977092979 288684205
590 9 15  325319447862 115134241
591 12 4  170383598536 379678239
592 68 47  525859325545 301774031
593 31 4  5536269145 37712604
594 62 12  173465468767 134550083
595 62 7  449651718928 73248552
596 62 31  425674676762 220832953
597 59 4  250023718550 614746720
598 62 103  6004398198 566862623
599 31 15  161747831112 27071429
600 68 95  600764851663 332925645
601 31 4  206717685964 76274256
602 31 11  576620088644 62493909
603 68 47  280528804909 367636908
604 31 4  279144940367 35443691
605 62 12  285241363632 55120593
606 62 31  103621695663 391124474
607 62 12  453243192027 130182197
608 62 7  136477716565 383422827
609 9 12  44097796215 88302712
610 31 2  551238230871 29941982
611 44 15  119931725923 6979847928
612 31 23  525630056670 346013515
613 6 1  350125678215 34003687
614 0 4  427097566363 1844087002
615 31 15  79843627089 75102776
616 31 11  307523051660 108427489
617 12 11  166815834119 372540937
618 38 4  186469296906 14606509582
619 12 3  502816789428 34191079
620 62 12  40933814509 123538395
621 62 4  518402365714 40933578
622 68 47  21305083995 852879389
623 9 12  560563749095 267858032
624 18 15  328382876883 1176935361
625 31 11  228321073265 85463336
626 62 15  216675033842 3360923882
627 62 31  202417084368 239350664
628 6 2  423722659074 29000302
629 6 2  280052558148 274748249
630 62 9  69398033874 1199917038
631 37 4  595916537415 166379365
632 31 4  42732162059 96010641
633 6 1  53899051488 20668071
634 62 31  317100916544 232745800
635 6 3  535812288524 27545832
636 12 4  206552779275 140462888
637 6 31  217768706353 69285561
638 68 47  465467289827 84333297
639 24 47  28894978332 365340037
640 15 15  485042123245 272676947
641 68 47  538122670734 351197646
642 6 1  134392220141 242407975
643 31 15  552247373682 287441036
644 62 124  116730673317 2080613808
645 12 0  364502187018 28500552
646 31 4  30317048045 113730515
647 62 98  276004353494 579483116
648 62 31  87615507139 342500146
649 137 70  206378744033 263816461
650 9 31  504556830490 143130061
651 31 3  528182659309 39018102
652 9 7  173947012256 453767199
653 12 3  139292767319 91316121
654 62 63  288228706368 2091065818
655 68 47  423217299014 115935720
656 31 12  67042160814 118348481
657 12 2  131417888924 203643535
658 68 47  21631743946 463363144
659 43 7  541180109798 200768652
660 12 11  191563632440 396646335
661 62 15  77285739182 120843111
662 12 4  304955326823 237816023
663 6 23  209116612352 36930716
664 6 1  183296826842 307181304
665 250 7  441393411329 20185968640
666 12 0  58502076557 15875483
667 12 15  231003566531 440418805
668 31 23  524442184177 1893080139
669 68 47  409593699994 94852282
670 31 7  48081082562 90516685
671 12 4  372055890984 251885511
672 15 15  423320639958 116656252
673 62 2  16579395807 110794120
674 62 12  339243431739 261367324
675 6 1  434375263549 22335241
676 6 2  5110841568 31624752
677 6 2  449189385077 30552799
678 62 4  203163714764 94352367
679 6 4  346634000457 402914201
680 6 2  96669531375 373174773
681 12 15  390231908900 383386660
682 68 47  468182850913 96303084
683 6 2  347223401138 396594827
684 31 7  486237023664 289366431
685 12 15  511510754588 49567742
686 43 7  281315249825 302692620
687 62 4  242167250057 716095008
688 12 3  455253832324 291912728
689 6 2  560864537974 135076338
690 62 63  573786401453 782402693
691 56 47  273464644497 168343026
692 62 31  324604598585 217660275
693 62 12  307802809975 64425562
694 12 3  217495760794 107992627
695 12 3  492922289699 33339859
696 12 4  223126860307 287729920
697 62 31  277847624458 295016199
698 12 3  133443633051 90210298
699 31 11  400273753319 33223658
700 62 7  356984855563 114819166
701 56 15  470120231303 112548985
702 13 10  256021930088 250667158
703 6 3  15276086514 476873824
704 9 15  366111910513 1400357052
705 62 6  403083690677 125185093
706 12 1  505991005380 62880652
707 31 4  399017914392 40981384
708 62 63  523386740782 813207925
709 62 31  302106860814 261738859
710 31 15  74430021769 29389342
711 17 4  443087514382 1398858977
712 49 7  439267784427 331058118
713 62 7  82244584283 90076326
714 12 15  582604811393 369427809
715 62 12  164307200220 114692154
716 43 7  363226184667 158359561
717 18 7  231486553926 5466562628
718 6 31  460401235635 27960187
719 31 7  365347182699 252729845
720 62 12  22948696997 49077606
721 24 25  159023845050 385436214
722 0 0  247764439129 121190214
723 62 4  370802686396 44496889
724 15 7  327330493406 7588375241
725 68 47  457154661887 76709544
726 62 63  271385244473 777449599
727 12 1  8376032129 143611768
728 62 12  26044307506 58768873
729 93 20  522926007413 9623052472
730 6 1  508737507367 93194355
731 62 15  168492668957 88883340
732 31 11  369253885215 49593894
733 6 2  85806087922 40859835
734 31 4  57316724829 62672651
735 31 23  179738405077 556029580
736 37 15  232341631656 357504643
737 6 3  276613767949 30606445
738 131 38  393417612162 239113316
739 9 15  99852144211 410652365
740 31 15  296380022529 360359278
741 93 7  124193156863 24506092214
742 62 31  214510091249 239328641
743 12 15  335808514726 46638138
744 6 2  111971414306 571022168
745 6 2  571812037350 226676682
746 31 15  51307034215 21481505
747 68 47  83103072785 431800446
748 31 15  110711447688 49695601
749 68 47  107012859447 276861856
750 31 15  149749838431 27648781
751 43 7  200338066981 351123710
752 6 0  539017366845 54340319
753 15 15  335920604488 93490111
754 3 0  386535627026 21026577
755 15 15  55183589709 304845271
756 0 3  470658605161 25763310
757 68 47  444133813288 68677460
758 68 47  468312701619 63345652
759 12 3  245435606513 36132973
760 62 63  472983689949 1153296036
761 13 4  353978497843 61925946
762 19 15  206099308784 5484579691
763 62 4  13816801926 48391781
764 62 31  222602592081 293002784
765 15 15  416598848965 346769493
766 31 7  4248653835 57537213
767 9 12  532957123299 321800434
768 6 31  593575244437 32609785
769 68 47  239781604505 150859577
770 12 4  490818089076 2287715095
771 12 3  91552773298 45636978
772 31 23  481243664033 3038312866
773 62 23  474958781320 216159791
774 12 1  435881669229 26224651
775 62 15  173817788761 3059902841
776 6 1  338411416151 38906237
777 12 15  589804277355 352079418
778 6 3  272446240841 3492291755
779 6 31  191599724638 26678253
780 12 0  388502070612 22258259
781 62 4  374550999187 179825011
782 31 15  444561462501 210563477
783 6 2  329268975492 281433694
784 12 3  325627671406 33698576
785 19 3  558914252726 870122756
786 31 7  107044431680 285088919
787 6 3  289225860770 65066747
788 68 47  412861645418 266936634
789 31 3  282841849268 329009401
790 62 79  77539027925 322608827
791 12 3  243630640778 39938157
792 19 15  220083384214 7407788541
793 12 4  183812316475 423055847
794 12 1  165197061150 243263699
795 62 124  192331498744 2050637536
796 15 15  166078416077 306695985
797 62 4  286802203276 38285060
798 12 4  157160100239 349422120
799 12 3  20408004927 39808351
800 12 4  530946415539 320197898
801 18 15  562442052376 428160632
802 6 3  596415676957 24911738
803 0 3  413969570113 395540335
804 62 4  166206158635 46727882
805 68 47  162770667459 156032000
806 0 3  121452898700 75770545
807 9 6  455568571841 70575624
808 62 15  149198532338 152288180
809 18 7  63404473704 323765787
810 62 12  223863275220 106716616
811 62 12  130443414990 84540169
812 62 98  329103774751 623312831
813 62 4  264005341737 41664389
814 62 63  306775011641 1532362341
815 12 15  337948659222 173663123
816 68 47  451619331053 73295784
817 19 15  21844397505 362012359
818 6 2  106445955332 64408049
819 68 47  446618886811 67860469
820 6 3  451821292694 35987048
821 31 7  369022003790 84161667
822 12 4  257301659356 293791569
823 62 7  40395854350 119727180
824 12 4  314473943428 245699381
825 6 1  298160204629 29055730
826 12 4  504953208434 242603601
827 62 4  519002237531 41571587
828 12 3  352911842491 60691371
829 6 2  207035620988 320528887
830 6 1  347695813932 195164699
831 62 7  165056177403 6815262289
832 14 15  154861958154 891405897
833 68 47  425342916333 78436441
834 9 7  93039689129 142779259
835 12 4  260964601191 240047512
836 31 15  137469475670 33211309
837 84 18  539728122393 69889579
838 6 1  454461257543 15194530
839 43 7  543185062617 1035944072
840 6 1  518074905306 89722624
841 3 0  264205377741 15887598
842 43 7  354929858926 504281086
843 31 15  31846428676 25690179
844 46 4  510638808308 4035066093
845 9 15  394909714439 1160809114
846 6 1  86189608483 17590216
847 68 95  191821283096 277959844
848 62 12  17164826860 47314507
849 68 47  443516729404 72030980
850 6 1  596397172472 79931056
851 6 1  438629788279 27759060
852 6 2  148702496315 63262665
853 7 4  412067522880 304909215
854 6 6  239758718006 1039640218
855 62 6  64381559271 174455682
856 6 1  144939268150 113054872
857 9 12  237860366028 298842236
858 12 3  192416210410 41829032
859 68 47  464107468232 59682580
860 13 15  200890932232 381144292
861 3 4  546402034426 1705944573
862 6 1  602061959995 20997413
863 6 1  549835506692 28720445
864 31 15  238804447016 353674092
865 12 3  4223117968 43329319
866 62 15  260964568190 352171169
867 31 23  517237648550 2007123580
868 12 1  597253539407 39897964
869 24 33  2110732798 1243945593
870 68 47  456921452221 202931462
871 9 31  43859623250 226008874
872 125 63  109860230894 171017295
873 31 15  263553121265 119206568
874 31 11  161844981816 54111481
875 12 4  185987657212 246470234
876 3 0  195757667730 22224523
877 62 6  307746040444 194420095
878 9 12  593013064384 237022479
879 6 0  115343668866 58265642
880 31 15  48378352453 36485508
881 12 4  422198231132 217976373
882 6 31  202501313986 29502876
883 62 46  448825040065 80941316966
884 24 33  86965763406 1308244063
885 62 12  149892006302 153982448
886 68 47  20458253608 171460329
887 18 7  306435233941 259233055
888 15 15  249435667925 127627488
889 6 2  497968696681 281779523
890 7 7  464754368576 50380066
891 56 15  52557603936 92185106
892 68 47  407365935517 258570941
893 43 7  548564642005 182609824
894 68 47  452663148053 82518691
895 9 12  460211551689 77015193
896 6 31  27806362742 21177294
897 62 12  392523252274 227308264
898 12 8  217949481324 2322808211
899 31 15  20132274888 22013758
900 12 15  423054429851 46353838
901 6 3  264645168484 28357570
902 31 11  322701764683 79039591
903 6 1  204628063861 35859162
904 6 1  174999266124 19677772
905 62 4  591347081359 960945362
906 62 12  508443006066 81231520
907 62 12  17657476704 47770200
908 31 7  567438971987 39679026
909 49 4  20733461797 99071881
910 49 6  153284782466 905830970
911 31 15  21080436702 26386939
912 6 1  132627545100 36840008
913 6 2  307370081584 422611830
914 6 2  224244526139 1756427355
915 68 47  409554417561 93448110
916 187 63  244434388863 660455709
917 12 1  408273765154 58558639
918 6 4  268430782569 25700345364
919 31 3  502170488459 52816630
920 31 6  181150931844 922396842
921 12 4  337937034092 44842243
922 3 0  426140161095 16742686
923 12 9  307113773012 458146397
924 43 7  16304337720 124350340
925 68 47  428442352468 367459286
