1 15 15  597386942813 252917418
156 9 15  553299336196 908551675
157 6 1  274115545549 302551142
158 31 31  100226369191 12351431069
159 6 2  185396265234 314520340
160 68 47  181171335949 721150426
161 43 7  15412871981 162270365
162 68 47  458136061260 67117000
163 12 3  491269866705 314745389
164 56 39  521837748092 395063737
165 7 4  527265345321 295580161
166 31 7  22500261748 149336615
167 43 7  366553203737 583371954
168 56 47  511427397463 201072804
169 9 12  248862045474 199705153
170 12 4  281315235268 207995641
171 31 4  344360794047 602784631
172 12 15  349810727957 322292349
173 68 47  228969336234 372981522
174 68 47  230652710437 124424994
175 62 31  56492668858 831539845
176 56 47  324283649169 255103323
177 6 2  23124900064 135747157
178 6 1  340847612241 181063083
179 62 12  484682130267 143494038
180 31 11  150932956754 75498410
181 12 3  152875205915 606181114
182 12 4  192438713727 254767917
183 8 46  210255329948 3908415077
184 12 15  426144818636 210779225
185 62 31  191325490113 159096234
186 12 11  225123900459 119149382
187 62 12  339721187731 161667995
188 12 4  121100291572 236610102
189 6 1  409943252501 111042641
190 31 7  93768907202 954052122
191 12 4  300188976879 318152408
192 62 31  490210172434 227299181
193 68 95  44451022930 298079303
194 15 15  164866951225 254960456
195 18 7  294369479424 373730927
196 62 31  366601315215 217331127
197 31 31  57045003880 5235656519
198 62 31  315302239002 251535400
199 12 3  174986819200 68056537
200 31 15  137137890824 322482448
201 12 15  151740264071 127535675
202 31 23  250845023202 3014495858
203 43 15  554341707606 441593443
204 13 4  353344355095 72411407
205 12 11  8535536840 694915852
206 12 4  361796459165 134140321
207 15 15  340661657627 187152355
208 6 2  122608063044 96443697
209 68 47  327801205453 272554485
210 12 2  338235617587 220513883
211 19 15  70750778927 371309429
212 9 6  426833014724 127610668
213 62 9  74223123661 1438298605
214 32 15  161181406101 578889913
215 62 31  465003788864 211608171
216 62 31  167029242022 345869385
217 62 47  517325979986 965413401
218 16 46  149459545033 77529215
219 62 9  401131398897 1625731135
220 62 7  577398484909 290617961
221 62 9  339369006163 2243262804
222 46 63  124092898233 605816628
223 62 15  591016771074 790141452
224 38 4  272463543384 10304124801
225 12 4  102138032749 2538503197
226 12 7  597078351817 361909910
227 12 4  122839018589 257365732
228 38 4  285507239913 3322802824
229 6 2  582662905168 138984634
230 12 11  222592723226 911951530
231 13 11  16467261251 487411835
232 31 11  88247002567 73480383
233 62 12  243963686767 131480078
234 31 12  16642853394 64685552
235 31 3  569990190802 4346920738
236 12 4  401431534479 262216141
237 12 3  202101097582 94319409
238 62 12  233643065535 136720984
239 15 15  77653206529 254866777
240 43 7  275269046578 869559085
241 6 2  37188816994 346100816
242 68 47  320983682913 197027703
243 62 15  283157946609 127663773
244 31 7  164619691432 68099280
245 46 63  499565750281 505681590
246 40 15  339855505050 5203899877
247 62 31  469753864900 47514178636
248 15 15  42597623259 132371615
249 62 12  506764539397 184466243
250 6 2  413656631370 168012064
251 6 0  81036730524 79249072
252 62 6  75534378913 149327443
253 12 4  166315307905 118701921
254 12 3  282462097261 284881386
255 68 47  440510353706 466768758
256 12 4  16616463027 171552309
257 56 15  137769117809 1514389532
258 68 47  413929875286 353688155
259 31 4  400513826785 343454071
260 12 11  263814799772 77533899
261 31 6  189482162478 201030553
262 31 11  41645671403 67990895
263 62 93  106629595948 1494523086
264 9 15  430909833407 1276545820
265 12 4  297700358622 263320401
266 18 7  70265371341 235827461
267 68 47  435498648987 80687812
268 68 47  71752883477 420478394
269 6 1  545390960317 171199454
270 62 12  69249814133 63963968
271 9 4  403350401480 62698006
272 68 47  419879497593 442557470
273 68 47  228487928809 309503045
274 12 15  68395806145 246886436
275 31 7  185350856937 213723506
276 6 1  458354803431 893502367
277 6 2  170650873566 149980850
278 62 31  74103570077 512668635
279 62 12  253322841370 268602485
280 24 25  265640032345 957893454
281 9 15  531716094317 1258448039
282 31 11  250696954801 103383426
283 62 12  230043943089 91855896
284 15 15  335998470241 141013841
285 12 4  382173924422 209576441
286 68 47  435573990059 76391902
287 12 3  544080627967 76460870
288 46 63  323164354172 611933279
289 62 12  28933579604 104953178
290 13 11  480145010044 526189602
291 25 6  61326165948 88309015
292 12 4  209459788167 407695000
293 31 15  95409659564 68104110
294 31 4  26733135275 60656911
295 68 47  453217119929 81254177
296 68 47  247424912335 460380536
297 9 7  325164206554 482895093
298 10 7  412511084982 283511988
299 9 12  512355253768 71149649
300 84 17  551272782757 87508367
301 31 3  413341747983 376397969
302 6 3  227430990871 288668755
303 62 79  123629437016 518409804
304 11 4  143355847414 462820764
305 31 3  359341369589 292357513
306 68 47  280442659909 103883265
307 6 2  516422206980 406773590
308 6 1  349990981554 91197655
309 12 3  330257479404 85943399
310 12 15  571520954302 373377945
311 62 31  287224078735 213874202
312 62 12  140526650105 76354623
313 62 7  514864718686 184440122
314 31 23  50126588155 659123292
315 56 47  439429821786 205211668
316 31 3  142178096986 10157917704
317 62 47  171849852921 972025054
318 7 4  178180497898 474421502
319 62 12  147246370450 117394644
320 62 12  568442299522 152452409
321 62 15  125304919906 192589329
322 68 47  327402120674 168961526
323 12 15  416643418371 214710589
324 9 15  546114331650 956440710
325 9 12  123058713277 231871909
326 12 1  246306328887 193914031
327 6 1  16267451131 240526280
328 62 31  102901261788 344670783
329 31 3  476426613881 70083709
330 31 7  160539417091 358407821
331 31 7  367670546963 6445584281
332 9 12  498420739889 266067365
333 62 7  570214227606 283516867
334 7 4  59349518136 272365427
335 68 47  228750785403 266861943
336 31 4  504796408307 128064879
337 62 6  206578968569 110665549
338 6 1  87706873509 346801255
339 62 63  271445196987 2333043614
340 62 31  494706404174 246198866
341 49 6  87275701823 274926487
342 62 7  534932737152 106718124
343 68 47  169513092205 548302672
344 62 79  293248352127 1582292299
345 31 15  120348322064 113360172
346 12 4  91674415404 250205285
347 18 7  81802565516 474620795
348 6 1  301688640756 137173614
349 6 2  445010425705 332431527
350 12 4  390763679656 185104981
351 9 15  61430253123 203640428
352 68 47  463641421191 70263174
353 43 7  19645628674 376335315
354 20 15  22314093240 222287691
355 6 1  96669549602 152390069
356 6 31  112562693050 119316094
357 62 79  427536256154 228089369
358 68 47  355035029621 188614041
359 6 3  136416198162 118187254
360 24 25  521281756366 621021471
361 62 12  43872368973 127886268
362 12 4  487190411340 618598469
363 31 7  322501213860 11300137177
364 62 2  137003022789 132045643
365 62 12  196683630730 101364196
366 9 4  555760037977 200192836
367 62 47  88595949234 2277882736
368 68 47  539226472621 524929371
369 43 7  284146478537 153042919
370 31 23  308431551812 2333053814
371 6 1  101334856971 65697646
372 9 12  160003715116 265774728
373 6 1  562767676500 775697246
374 93 7  73813275008 31425151258
375 62 63  262122831591 1666728691
376 31 31  406070386994 167303464
377 62 31  71583909319 152843157
378 9 15  272538213573 1836512991
379 62 63  408183146195 1257054966
380 6 2  375435585127 2146655303
381 31 3  113641231342 335713429
382 62 2  421518276816 115648936
383 31 3  560941985311 337956679
384 6 1  54427994974 82157655
385 12 4  362057486874 81912180
386 68 47  462072417499 422138474
387 68 47  404020269701 267949726
388 62 63  470671011374 327496033
389 6 2  37352751704 144372146
390 12 1  161255032328 79855419
391 62 12  70702232944 349891958
392 24 25  208848282573 1782621024
393 68 47  439109446409 314980748
394 12 9  134534294080 499228707
395 68 47  467085311548 70651765
396 9 15  402254293397 70431215
397 6 15  195329997409 1681013005
398 31 15  217399787534 522513664
399 46 63  433808582732 540200313
400 19 21  360134119760 304618595
401 18 7  51098097581 6139625350
402 31 7  548960900616 62334746
403 31 3  293641236999 280994417
404 12 4  349704977765 362817125
405 62 12  34219167333 60481125
406 68 47  106946748687 349483942
407 6 2  138387306373 69372739
408 9 10  307796247360 60556416
409 6 2  588747071018 464467083
410 6 1  428056826057 163409151
411 62 63  112994748029 1322137195
412 62 12  324673713260 127782695
413 15 15  77460662033 329741724
414 46 63  231842151507 594919436
415 31 11  271515276148 62212478
416 24 31  157474769577 1530799445
417 62 7  223543650727 513601439
418 62 6  302414411204 129324111
419 0 3  539949215974 576717186
420 31 23  164465225580 1663362922
421 6 2  360777789465 137600981
422 12 15  384601641826 318744493
423 68 47  443425028680 182434120
424 62 7  478597506753 108809621
425 6 1  502237416712 66187766
426 62 31  238248059401 339082388
427 19 15  60986149208 308220180
428 62 30  363989593234 275005947
429 68 47  440257600009 98947360
430 62 31  322951790119 830216161
431 12 77  421963682611 935228075
432 46 63  237123333301 555952517
433 31 7  113015366074 1619609049
434 6 1  253161312562 784638940
435 12 3  253683682939 317529469
436 62 31  454802336819 428323544
437 12 7  509263854444 601693492
438 7 4  26854573529 335074264
439 12 3  244953399186 82542980
440 22 3  26100317179 392532751
441 46 63  252842227581 706459457
442 62 7  492922295860 70969983
443 9 12  572629914342 171810069
444 62 79  562816078703 663043097
445 31 31  21370051957 2160059119
446 31 7  283565369202 153498144
447 12 4  113280864411 263881695
448 6 2  592977092979 288684205
449 9 15  325319447862 115134241
450 12 4  170383598536 379678239
451 68 47  525859325545 301774031
452 62 12  173465468767 134550083
453 62 7  449651718928 73248552
454 62 31  425674676762 220832953
455 59 4  250023718550 614746720
456 68 95  600764851663 332925645
457 31 4  206717685964 76274256
458 31 11  576620088644 62493909
459 68 47  280528804909 367636908
460 62 31  103621695663 391124474
461 62 12  453243192027 130182197
462 62 7  136477716565 383422827
463 9 12  44097796215 88302712
464 44 15  119931725923 6979847928
465 31 23  525630056670 346013515
466 0 4  427097566363 1844087002
467 31 15  79843627089 75102776
468 31 11  307523051660 108427489
469 12 11  166815834119 372540937
470 38 4  186469296906 14606509582
471 62 12  40933814509 123538395
472 68 47  21305083995 852879389
473 9 12  560563749095 267858032
474 18 15  328382876883 1176935361
475 31 11  228321073265 85463336
476 62 15  216675033842 3360923882
477 62 31  202417084368 239350664
478 6 2  280052558148 274748249
479 62 9  69398033874 1199917038
480 37 4  595916537415 166379365
481 31 4  42732162059 96010641
482 62 31  317100916544 232745800
483 12 4  206552779275 140462888
484 6 31  217768706353 69285561
485 68 47  465467289827 84333297
486 24 47  28894978332 365340037
487 15 15  485042123245 272676947
488 68 47  538122670734 351197646
489 6 1  134392220141 242407975
490 31 15  552247373682 287441036
491 31 4  30317048045 113730515
492 62 98  276004353494 579483116
493 62 31  87615507139 342500146
494 9 31  504556830490 143130061
495 9 7  173947012256 453767199
496 12 3  139292767319 91316121
497 62 63  288228706368 2091065818
498 68 47  423217299014 115935720
499 31 12  67042160814 118348481
500 12 2  131417888924 203643535
501 68 47  21631743946 463363144
502 43 7  541180109798 200768652
503 12 11  191563632440 396646335
504 62 15  77285739182 120843111
505 12 4  304955326823 237816023
506 6 1  183296826842 307181304
507 12 15  231003566531 440418805
508 31 23  524442184177 1893080139
509 68 47  409593699994 94852282
510 31 7  48081082562 90516685
511 12 4  372055890984 251885511
512 15 15  423320639958 116656252
513 62 2  16579395807 110794120
514 62 12  339243431739 261367324
515 62 4  203163714764 94352367
516 6 4  346634000457 402914201
517 6 2  96669531375 373174773
518 12 15  390231908900 383386660
519 68 47  468182850913 96303084
520 6 2  347223401138 396594827
521 31 7  486237023664 289366431
522 43 7  281315249825 302692620
523 62 4  242167250057 716095008
524 12 3  455253832324 291912728
525 6 2  560864537974 135076338
526 62 63  573786401453 782402693
527 56 47  273464644497 168343026
528 62 31  324604598585 217660275
529 62 12  307802809975 64425562
530 12 3  217495760794 107992627
531 12 4  223126860307 287729920
532 62 31  277847624458 295016199
533 12 3  133443633051 90210298
534 62 7  356984855563 114819166
535 56 15  470120231303 112548985
536 13 10  256021930088 250667158
537 6 3  15276086514 476873824
538 9 15  366111910513 1400357052
539 62 6  403083690677 125185093
540 12 1  505991005380 62880652
541 62 63  523386740782 813207925
542 62 31  302106860814 261738859
543 17 4  443087514382 1398858977
544 49 7  439267784427 331058118
545 62 7  82244584283 90076326
546 12 15  582604811393 369427809
547 62 12  164307200220 114692154
548 43 7  363226184667 158359561
549 18 7  231486553926 5466562628
550 31 7  365347182699 252729845
551 24 25  159023845050 385436214
552 0 0  247764439129 121190214
553 15 7  327330493406 7588375241
554 68 47  457154661887 76709544
555 62 63  271385244473 777449599
556 12 1  8376032129 143611768
557 93 20  522926007413 9623052472
558 6 1  508737507367 93194355
559 62 15  168492668957 88883340
560 31 4  57316724829 62672651
561 31 23  179738405077 556029580
562 37 15  232341631656 357504643
563 9 15  99852144211 410652365
564 31 15  296380022529 360359278
565 93 7  124193156863 24506092214
566 62 31  214510091249 239328641
567 6 2  111971414306 571022168
568 6 2  571812037350 226676682
569 68 47  83103072785 431800446
570 68 47  107012859447 276861856
571 43 7  200338066981 351123710
572 15 15  335920604488 93490111
573 15 15  55183589709 304845271
574 68 47  444133813288 68677460
575 68 47  468312701619 63345652
576 62 63  472983689949 1153296036
577 13 4  353978497843 61925946
578 19 15  206099308784 5484579691
579 62 31  222602592081 293002784
580 15 15  416598848965 346769493
581 9 12  532957123299 321800434
582 68 47  239781604505 150859577
583 12 4  490818089076 2287715095
584 31 23  481243664033 3038312866
585 62 23  474958781320 216159791
586 62 15  173817788761 3059902841
587 12 15  589804277355 352079418
588 6 3  272446240841 3492291755
589 62 4  374550999187 179825011
590 31 15  444561462501 210563477
591 6 2  329268975492 281433694
592 19 3  558914252726 870122756
593 31 7  107044431680 285088919
594 6 3  289225860770 65066747
595 68 47  412861645418 266936634
596 31 3  282841849268 329009401
597 62 79  77539027925 322608827
598 19 15  220083384214 7407788541
599 12 4  183812316475 423055847
600 12 1  165197061150 243263699
601 15 15  166078416077 306695985
602 12 4  157160100239 349422120
603 12 4  530946415539 320197898
604 18 15  562442052376 428160632
605 0 3  413969570113 395540335
606 68 47  162770667459 156032000
607 0 3  121452898700 75770545
608 9 6  455568571841 70575624
609 62 15  149198532338 152288180
610 18 7  63404473704 323765787
611 62 12  223863275220 106716616
612 62 12  130443414990 84540169
613 62 98  329103774751 623312831
614 62 63  306775011641 1532362341
615 12 15  337948659222 173663123
616 68 47  451619331053 73295784
617 19 15  21844397505 362012359
618 6 2  106445955332 64408049
619 68 47  446618886811 67860469
620 31 7  369022003790 84161667
621 12 4  257301659356 293791569
622 62 7  40395854350 119727180
623 12 4  314473943428 245699381
624 12 4  504953208434 242603601
625 12 3  352911842491 60691371
626 6 2  207035620988 320528887
627 6 1  347695813932 195164699
628 62 7  165056177403 6815262289
629 14 15  154861958154 891405897
630 68 47  425342916333 78436441
631 9 7  93039689129 142779259
632 12 4  260964601191 240047512
633 84 18  539728122393 69889579
634 43 7  543185062617 1035944072
635 6 1  518074905306 89722624
636 43 7  354929858926 504281086
637 46 4  510638808308 4035066093
638 9 15  394909714439 1160809114
639 68 95  191821283096 277959844
640 68 47  443516729404 72030980
641 6 1  596397172472 79931056
642 6 2  148702496315 63262665
643 7 4  412067522880 304909215
644 6 6  239758718006 1039640218
645 62 6  64381559271 174455682
646 6 1  144939268150 113054872
647 9 12  237860366028 298842236
648 13 15  200890932232 381144292
649 3 4  546402034426 1705944573
650 31 15  238804447016 353674092
651 62 15  260964568190 352171169
652 31 23  517237648550 2007123580
653 24 33  2110732798 1243945593
654 68 47  456921452221 202931462
655 9 31  43859623250 226008874
656 31 15  263553121265 119206568
657 12 4  185987657212 246470234
658 62 6  307746040444 194420095
659 9 12  593013064384 237022479
660 12 4  422198231132 217976373
661 62 46  448825040065 80941316966
662 24 33  86965763406 1308244063
663 62 12  149892006302 153982448
664 68 47  20458253608 171460329
665 18 7  306435233941 259233055
666 15 15  249435667925 127627488
667 6 2  497968696681 281779523
668 56 15  52557603936 92185106
669 68 47  407365935517 258570941
670 43 7  548564642005 182609824
671 68 47  452663148053 82518691
672 9 12  460211551689 77015193
673 62 12  392523252274 227308264
674 12 8  217949481324 2322808211
675 31 11  322701764683 79039591
676 62 4  591347081359 960945362
677 62 12  508443006066 81231520
678 49 4  20733461797 99071881
679 49 6  153284782466 905830970
680 6 2  307370081584 422611830
681 6 2  224244526139 1756427355
682 68 47  409554417561 93448110
683 6 4  268430782569 25700345364
684 31 6  181150931844 922396842
685 12 9  307113773012 458146397
686 43 7  16304337720 124350340
687 68 47  428442352468 367459286
688 68 47  451238346869 84101504
689 15 15  252622256974 284483036
690 62 11  311214399267 231852659
691 15 15  389333660376 109124034
692 68 47  456510222840 97559332
693 31 3  34443738227 332423243
694 62 9  98360037884 1217168919
695 62 15  216647804773 812409749
696 12 11  277130661195 97644085
697 62 31  177203129778 195059395
698 9 42  208697074440 645487339
699 62 12  466204890109 151299723
700 6 0  214956851021 62181819
701 68 47  321672386854 178648534
702 68 47  105835348876 615300146
703 6 15  371879206462 997591288
704 9 12  386074054289 102426897
705 62 98  342605414229 661393326
706 68 47  426140158632 106734225
707 18 4  165276300680 1359670189
708 31 7  554332213949 1355487757
709 0 3  216158316403 431381072
710 62 12  504123051894 109120397
711 68 47  315937118820 412060897
712 9 12  280508785045 236241562
713 46 63  107163463178 601314273
714 13 31  527189846687 1368798103
715 68 47  422407277783 364969077
716 9 12  434811949604 81406613
717 31 3  558242747988 334384396
718 68 95  406547504779 102573780
719 62 12  395162115199 182629627
720 51 15  345103655211 3052752156
721 62 7  248899319558 134406251
722 9 12  182250357861 92805604
723 62 79  202838564116 3205755075
724 68 47  460832084955 66501997
725 62 7  52238578377 628965530
726 68 47  364331937129 246425307
727 12 7  158888153590 84834083
728 62 31  117136242843 76096425
729 46 63  23561017358 561854299
730 68 47  410968796229 82706782
731 62 2  20133069044 147568290
732 12 4  588117843488 799832501
733 62 12  483063605359 489728015
734 9 7  127190191135 86864441
735 0 3  169194205840 558174501
736 12 9  48141922043 334157153
737 0 3  165605382325 827789158
738 24 25  378061390169 555724731
739 0 3  532213732428 1119048833
740 62 12  539163367512 109290297
741 9 12  33760755298 81229208
742 68 47  234926725999 210749888
743 62 12  104046441112 115329672
744 15 15  161200187509 118921969
745 6 2  128002852269 282384639
746 68 47  464938585592 68443161
747 68 47  435535517350 87544311
748 62 6  33637303509 123298240
749 62 15  166521875765 1170050986
750 31 15  50848879301 83819385
751 68 47  466404997944 77899554
752 13 15  30288147501 297314915
753 6 15  167655912321 956781559
754 9 12  504670813410 4366839070
755 31 7  527734196366 67661676
756 62 2  200136927517 111062818
757 68 47  469123654900 90119343
758 62 7  8746813504 366837566
759 62 31  38112735473 206318322
760 46 63  573004681955 537652333
761 68 47  42395963026 237931993
762 31 11  54611591828 101004409
763 18 7  303494431866 1734861841
764 62 31  524404621270 212557428
765 68 47  428423326825 405453005
766 62 2  207265024812 140593157
767 62 47  55557123950 348723600
768 12 7  148105855419 231499212
769 68 47  404534854210 217453977
770 31 7  355144944700 2544931986
771 15 15  501685845490 161756007
772 31 23  394851993473 1900625184
773 12 28  334694165430 1487624718
774 68 47  324921207197 117379526
775 68 47  444361243484 83691467
776 62 9  87059394646 2680027728
777 62 21  377240102373 143962095
778 9 12  319726060032 178728836
779 68 95  236547257409 315514689
780 62 15  539264590276 299947616
781 12 3  325673693247 454826545
782 12 4  421808968460 238054060
783 9 10  569776916277 120919312
784 56 47  569067750603 251656722
785 9 12  22336534525 87129180
786 12 11  347775889840 362317119
787 12 4  336114829547 294244875
788 62 7  351983134579 8736652880
789 62 47  258122990256 2251145016
790 31 15  69907916045 835264804
791 15 15  247948943657 374010347
792 62 9  314409285906 1888899114
793 31 7  305489100323 69234901
794 12 4  223882165993 294809965
795 31 4  548114210265 1216775257
796 62 31  104860384169 157372575
797 62 31  105051511318 156177477
798 68 47  18969676135 93715495
799 19 15  24350198864 674316734
800 9 10  569160894756 61282495
801 68 47  408640222305 78471514
802 62 63  285784278219 808985276
803 12 3  582195849231 78843699
804 6 1  284904962597 935209187
805 62 15  78634354159 100258098
806 19 15  66154161822 173588182
807 0 4  186007304156 15105921894
808 6 4  289046643800 482963185
809 15 15  242728382264 125091239
810 62 15  538936111896 290508082
811 7 4  170867075561 453193205
812 62 15  130912479829 2172503955
813 62 31  80430888722 221696506
814 62 31  130294846674 164335196
815 62 7  46158053396 114979286
816 62 12  567963801162 149438330
817 62 15  207814828549 66312644
818 62 7  35225178770 8055535028
819 12 9  141509575463 555468698
820 68 47  164124812968 101161577
821 62 79  316843651201 3982653131
822 62 15  86041498184 145375346
823 6 1  228555649405 302359814
824 68 95  475531883272 216958910
825 68 47  232867472517 375893414
826 9 31  465391227584 784938427
827 12 15  599245007022 190378315
828 9 12  175542576203 236279111
829 31 4  486914476330 368783822
830 62 2  583531458350 120780982
831 6 2  133440036301 412837201
832 68 47  71851748360 976340941
833 6 1  486237021457 71155151
834 31 23  560442297535 2292499979
835 12 11  252633941402 566339552
836 43 7  161976017257 22122605733
837 9 10  310995576225 108410948
838 62 6  291129324419 154190139
839 9 12  318518936830 244373890
840 62 12  186361950518 470450156
841 9 31  116176562778 313444117
842 0 0  63559668956 105178256
843 31 12  333440840839 99592459
844 6 31  296473909586 980623512
845 62 21  262122684701 163655271
846 6 0  292769927002 75734633
847 22 9  434849359774 83211833
848 24 47  542491434707 122495924
849 6 2  59222858118 541161046
850 62 31  118763465960 334077635
851 62 63  174432694442 122269676
852 31 12  275842753915 99889819
853 62 12  126133495576 60184281
854 9 7  547189233312 68052872
855 12 4  88730734534 391443673
856 62 12  577322235804 200821437
857 62 31  523011897663 10241149889
858 68 47  253385669366 119255254
859 62 31  149094375893 2283390589
860 12 11  293668298273 106807402
861 62 15  35834503506 883688643
862 6 2  268023449859 430169424
863 62 12  501723483130 173138451
864 31 7  77097229939 7977927579
865 12 3  206822889672 86999623
866 18 1  436220063021 100622249
867 46 63  476168196052 586455363
868 62 7  147615457536 138185961
869 62 12  576124471223 103344555
870 13 15  186241404102 435243932
871 68 47  107418855076 164286497
872 62 11  268108752017 211136192
873 30 15  76173433685 2337973067
874 62 12  134053538899 123339456
875 31 15  566600588769 251617906
876 62 35  30137706383 4754456417
877 6 2  180990710732 148786911
878 49 6  224747679268 342796795
879 62 31  114561272244 158262383
880 6 23  285340022264 61567222
881 84 17  482291431578 87347712
882 62 2  199227714298 121613295
883 6 3  10123439225 3029711722
884 26 15  112067191690 989030518
885 9 12  287914411108 143406901
886 49 6  548059772443 198961536
887 62 47  543463700443 1706623851
888 7 2  57140962389 394728136
889 0 4  444941593511 1140740003
890 24 7  549298872930 2232681856
891 12 4  170565712116 307140819
892 62 12  175082952427 154072386
893 31 7  441559395444 1472474828
894 62 12  53651933876 74277740
895 62 31  103177351951 9019859933
896 12 3  133693095110 391682849
897 68 47  420578746389 368108497
898 62 6  582717968390 121030008
899 0 4  111662546352 3414842816
900 9 12  144160611996 267567375
901 62 23  394225026379 2975935679
902 68 47  539482818609 334717983
903 68 47  439514803952 283858153
904 31 7  109436637298 569756738
905 9 12  386745460474 77077579
906 6 63  538900240252 833434346
907 15 15  476909651636 98480565
908 62 15  143188400456 1036486690
909 62 63  573304546845 1750130253
910 6 5  512243815318 2603885048
911 6 3  203633135477 7261529748
912 6 1  99658897774 123417394
913 31 7  188806594989 400484695
914 31 23  229238034381 1064924322
915 31 3  524041307916 285069536
916 9 7  238725560934 544042939
917 12 9  515906973945 351955649
918 9 15  95562696712 784993798
919 6 2  270166739994 240511526
920 31 15  41771857234 138076489
921 12 28  304586349484 2391029196
922 6 15  359876408661 912073734
